Date,Usage,Notifications,Times opened,App
08/26/2022,38,70,49,Instagram
08/27/2022,39,43,48,Instagram
08/28/2022,64,231,55,Instagram
08/29/2022,14,35,23,Instagram
08/30/2022,3,19,5,Instagram
08/31/2022,19,25,20,Instagram
09/01/2022,44,23,57,Instagram
09/02/2022,16,28,22,Instagram
09/03/2022,27,15,25,Instagram
09/04/2022,72,29,30,Instagram
09/05/2022,42,24,51,Instagram
09/06/2022,19,34,25,Instagram
09/07/2022,38,23,19,Instagram
09/08/2022,71,48,43,Instagram
09/09/2022,43,68,70,Instagram
09/10/2022,45,71,70,Instagram
09/11/2022,94,180,95,Instagram
09/12/2022,114,99,102,Instagram
09/13/2022,17,45,39,Instagram
09/14/2022,1,10,2,Instagram
09/15/2022,2,15,4,Instagram
09/16/2022,3,13,5,Instagram
09/17/2022,2,9,3,Instagram
09/18/2022,3,8,5,Instagram
09/19/2022,4,8,3,Instagram
09/20/2022,5,11,5,Instagram
09/21/2022,2,12,8,Instagram
08/26/2022,82,209,105,Whatsapp
08/27/2022,69,111,68,Whatsapp
08/28/2022,130,183,86,Whatsapp
08/29/2022,59,157,74,Whatsapp
08/30/2022,128,246,87,Whatsapp
08/31/2022,108,169,77,Whatsapp
09/01/2022,23,99,47,Whatsapp
09/02/2022,76,144,103,Whatsapp
09/03/2022,1,80,16,Whatsapp
09/04/2022,6,38,33,Whatsapp
09/05/2022,126,218,121,Whatsapp
09/06/2022,91,205,110,Whatsapp
09/07/2022,160,212,83,Whatsapp
09/08/2022,69,217,82,Whatsapp
09/09/2022,119,405,192,Whatsapp
09/10/2022,103,166,79,Whatsapp
09/11/2022,203,173,92,Whatsapp
09/12/2022,182,290,172,Whatsapp
09/13/2022,71,153,91,Whatsapp
09/14/2022,64,192,67,Whatsapp
09/15/2022,50,181,58,Whatsapp
09/16/2022,71,176,91,Whatsapp
09/17/2022,212,212,120,Whatsapp
09/18/2022,244,303,132,Whatsapp
09/19/2022,77,169,105,Whatsapp
09/20/2022,58,190,78,Whatsapp
09/21/2022,89,262,68,Whatsapp